Market,Series,Result,Profit/Loss,Yes Price,Settled Date
KXWCGAME-26JUN11JPNFRA-JPN,KXWCGAME,Lost,-4.76,0.18,06/11/2026
KXWCGAME-26JUN11ESPPOR-ESP,KXWCGAME,Won,1.92,0.6,06/11/2026
KXWCGAME-26JUN12MEXFRA-MEX,KXWCGAME,Lost,-3.15,0.3,06/12/2026
KXWCGAME-26JUN12MEXGHA-MEX,KXWCGAME,Won,6.19,0.57,06/12/2026
KXWCGAME-26JUN14URUGER-URU,KXWCGAME,Lost,-1.11,0.21,06/14/2026
KXWCGAME-26JUN15PORJPN-POR,KXWCGAME,Lost,-30.84,0.6,06/15/2026
KXWCGAME-26JUN16GHAGER-TIE,KXWCGAME,Won,2.11,0.56,06/16/2026
KXWCGAME-26JUN17JPNCRO-JPN,KXWCGAME,Won,11.36,0.76,06/17/2026
KXWCGAME-26JUN18JPNKOR-JPN,KXWCGAME,Lost,-2.85,0.18,06/18/2026
KXWCGAME-26JUN19BRAGER-BRA,KXWCGAME,Lost,-4.07,0.39,06/19/2026
KXWCGAME-26JUN20PORCRO-POR,KXWCGAME,Won,3.07,0.37,06/20/2026
KXWTAMATCH-26-SABALENKA,KXWTAMATCH,Won,3.55,0.75,06/20/2026
KXWCGAME-26JUN22GERESP-GER,KXWCGAME,Lost,-5.88,0.28,06/22/2026
KXWCGAME-26JUN22MEXGHA-MEX,KXWCGAME,Lost,-7.73,0.37,06/22/2026
KXWCGAME-26JUN26COLMEX-COL,KXWCGAME,Won,2.4,0.83,06/26/2026
KXWTAMATCH-26-SABALENKA,KXWTAMATCH,Lost,-0.64,0.12,06/26/2026
KXWCGAME-26JUN26SENCRO-SEN,KXWCGAME,Lost,-1.8,0.17,06/26/2026
KXWCGAME-26JUN28ENGSEN-TIE,KXWCGAME,Won,2.56,0.73,06/28/2026
KXWCGAME-26JUN28BRAMEX-BRA,KXWCGAME,Lost,-2.53,0.24,06/28/2026
KXWCGAME-26JUN28GHASEN-GHA,KXWCGAME,Lost,-14.19,0.27,06/28/2026
KXWCGAME-26JUN28SENPOR-TIE,KXWCGAME,Won,2.71,0.44,06/28/2026
KXWCGAME-26JUN30FRAPOR-FRA,KXWCGAME,Won,11.99,0.19,06/30/2026
KXWCGAME-26JUN30NEDARG-NED,KXWCGAME,Lost,-4.02,0.19,06/30/2026
KXWCGAME-26JUN30CROFRA-CRO,KXWCGAME,Won,5.63,0.42,06/30/2026
KXWTAMATCH-26-SABALENKA,KXWTAMATCH,Won,8.29,0.43,07/01/2026
KXUFC-26-JONES,KXUFC,Won,1.13,0.88,07/02/2026
KXWCGAME-26JUL03FRAMEX-FRA,KXWCGAME,Won,8.6,0.64,07/03/2026
KXWCGAME-26JUL04FRAGER-TIE,KXWCGAME,Won,30.68,0.37,07/04/2026
KXWCGAME-26JUL05ESPGHA-ESP,KXWCGAME,Won,3.58,0.81,07/05/2026
KXWCGAME-26JUL07ARGNED-ARG,KXWCGAME,Lost,-8.21,0.53,07/07/2026
KXWCGAME-26JUL07ENGUSA-ENG,KXWCGAME,Won,8.26,0.57,07/07/2026
KXWCGAME-26JUL08ENGKOR-ENG,KXWCGAME,Lost,-2.23,0.14,07/08/2026
KXWTAMATCH-26-GAUFF,KXWTAMATCH,Won,34.78,0.29,07/09/2026
KXWCGAME-26JUL12CROJPN-CRO,KXWCGAME,Won,22.13,0.54,07/12/2026
KXWCGAME-26JUL13GHAMAR-GHA,KXWCGAME,Lost,-19.32,0.37,07/13/2026
KXWCGAME-26JUL14KORURU-KOR,KXWCGAME,Lost,-0.9,0.17,07/14/2026
KXUFC-26-PEREIRA,KXUFC,Lost,-23.87,0.46,07/14/2026
KXWCGAME-26JUL14BRANED-BRA,KXWCGAME,Won,9.25,0.52,07/14/2026
KXWCGAME-26JUL16SENESP-SEN,KXWCGAME,Won,1.79,0.81,07/16/2026
KXWCGAME-26JUL17GERCOL-GER,KXWCGAME,Lost,-9.4,0.36,07/17/2026
